airtable_id,type,timestamp,operator,station,fields_json,lots
recVpl7f5BSA3VQNs,FullyColonized,2026-04-15T23:11:08.545Z,,Dark Room,{},
recVt1sZIveISVGLt,FullyColonized,2026-04-15T23:10:01.081Z,,Dark Room,{},
recVvee5jvHyy96Nz,Inoculated,2026-03-30T16:23:42.106Z,,Inoculation,"{""source_lot_id"":""recK9t05vyj7ZKNRt"",""source_category"":""lc_syringe"",""volume_ml"":2,""operator"":"""",""target_lot_id"":""LOT-260327-gDAQ""}",
recVzmTXzxQVKOwKf,Sterilized,2026-03-23T20:45:00.000Z,system,Sterilizer OUT,"{""run_id"":""rec8ZdEg2StmlxanB"",""run_no"":""RUN-260327-xanB"",""process_type"":""sterilize"",""unit_size"":400}",
recWVRYHNlJe1aODg,Sterilized,2026-02-28T18:29:00.000Z,Robert,Sterilizer OUT,"{""run_id"":""rec0JC7G8fTAXxlJZ"",""run_no"":""RUN-260228-xlJZ"",""process_type"":""sterilize"",""unit_size"":7.5}",
recWbcr9H6tlOWfFA,Pasteurized,2026-03-10T18:23:50.693Z,Robert,Sterilizer OUT,"{""run_id"":""recBjYHAjvHFNP65d"",""run_no"":""RUN-260310-P65d"",""process_type"":""pasteurize"",""unit_size"":5}",
recWun4sFiJKwThDR,SpawnedToBulk,,,Spawn to Bulk,"{""grain_input_ids"":[""recbpnsqYnzoqmmck""],""substrate_input_ids"":[""rec2A8uwuuVkSVZOr"",""recIOm9zD5t299O8n"",""recYaz120duwL1KfC"",""recYtgV461KCmHnEF"",""rectkiXBbNNAZqVYD"",""recMbqgRxWgMj5xpp""],""per_output_unit_size_lb"":2.8333333333333335,""output_item_code"":""FB-MM75-SM"",""output_index"":1,""output_count"":6}",
recX5c2pWRZaCQOIa,SpawnedToBulk,,,Spawn to Bulk,"{""grain_input_ids"":[""recbpnsqYnzoqmmck""],""substrate_input_ids"":[""rec2A8uwuuVkSVZOr"",""recIOm9zD5t299O8n"",""recYaz120duwL1KfC"",""recYtgV461KCmHnEF"",""rectkiXBbNNAZqVYD"",""recMbqgRxWgMj5xpp""],""per_output_unit_size_lb"":2.8333333333333335,""output_item_code"":""FB-MM75-SM"",""output_index"":3,""output_count"":6}",
recXIvK582L72oXZV,Inoculated,2026-04-12T20:55:58.463Z,,Inoculation,"{""source_lot_id"":""receER88nYKrLQXU4"",""source_category"":""lc_flask"",""volume_ml"":0.25,""operator"":"""",""target_lot_id"":""LOT-260327-aYvJ""}",
recXpOcTxCV4k90DE,Inoculated,2026-03-30T16:19:16.700Z,,Inoculation,"{""source_lot_id"":""recztPd8zoKCy5Uap"",""source_category"":""lc_syringe"",""volume_ml"":2.5,""operator"":"""",""target_lot_id"":""LOT-260330-QXU4""}",
recY9Pcv2f7BWQFgB,Inoculated,2026-03-30T16:22:11.240Z,,Inoculation,"{""source_lot_id"":""recJjqkS9shuFz0jB"",""source_category"":""lc_syringe"",""volume_ml"":2.5,""operator"":"""",""target_lot_id"":""LOT-260330-Trni""}",
recYBdTcZaMrivds9,FullyColonized,2026-04-18T11:55:51.581Z,,Dark Room,{},
recYEeLISTWakFtSK,SpawnedToBulk,,,Spawn to Bulk,"{""grain_input_ids"":[""recD2cmwtN62S55iq""],""substrate_input_ids"":[""recSiAPSUCQyMrdRd"",""rec9GzYrjM9TscbjB""],""per_output_unit_size_lb"":8.75,""output_item_code"":""FB-MM75-LG"",""output_index"":0,""output_count"":2}",
recYI7SIVIwqwwYCn,SpawnedToBulk,,,Spawn to Bulk,"{""grain_input_ids"":[""rechP7fXl9hiMAEit""],""substrate_input_ids"":[""recGnWGF3f92zXBrN"",""recvQYPEs7URQGP0M"",""reclq4McHJH7t1NRT""],""per_output_unit_size_lb"":1.6666666666666667,""output_item_code"":""FB-MM75-SM"",""output_index"":5,""output_count"":6}",
recYrTVJ6GYcDGRxk,Consumed,,,Spawn to Bulk,"{""consumed_by_lot_ids"":[""recZs07ldlAixJqUB"",""rech3RPqvq9d5HZ0p""]}",
recYv6pecg3jPn5Jf,Sterilized,2026-04-09T20:38:59.422Z,system,Sterilizer OUT,"{""run_id"":""recppjKznbkp9cKxo"",""run_no"":""RUN-260409-cKxo"",""process_type"":""sterilize"",""unit_size"":3}",
recZMaVhedz30MliZ,SpawnedToBulk,,,Spawn to Bulk,"{""grain_input_ids"":[""rec7e4hlqnmOcy303""],""substrate_input_ids"":[""recy8SzUO4C3HFbVv"",""recHoe3zDVz0tAujd"",""recyrJIedCf6gQ5Re"",""recg03wqUVkkJVJ42"",""recrYd5SYKVcBbt5o"",""rec6YWY70rN1F2VDs""],""per_output_unit_size_lb"":2.8333333333333335,""output_item_code"":""FB-MM75-SM"",""output_index"":3,""output_count"":6}",
recZOGGK8pRmrgn6s,FullyColonized,2026-04-18T11:56:02.463Z,,Dark Room,{},
recZXqhucUnakUSFf,FullyColonized,2026-03-09T21:49:14.899Z,,Dark Room,{},
recZfI8ua5zVqZls0,SpawnedToBulk,,,Spawn to Bulk,"{""grain_input_ids"":[""recbpnsqYnzoqmmck""],""substrate_input_ids"":[""rec2A8uwuuVkSVZOr"",""recIOm9zD5t299O8n"",""recYaz120duwL1KfC"",""recYtgV461KCmHnEF"",""rectkiXBbNNAZqVYD"",""recMbqgRxWgMj5xpp""],""per_output_unit_size_lb"":2.8333333333333335,""output_item_code"":""FB-MM75-SM"",""output_index"":2,""output_count"":6}",
recZgvfNqLJrKwzZ7,Inoculated,2026-03-30T16:23:42.106Z,,Inoculation,"{""source_lot_id"":""recK9t05vyj7ZKNRt"",""source_category"":""lc_syringe"",""volume_ml"":2,""operator"":"""",""target_lot_id"":""LOT-260330-ZOzo""}",
recZsZdSO51PmVoh1,Sterilized,2026-03-30T16:15:34.671Z,system,Sterilizer OUT,"{""run_id"":""recpFcbTcKrw3DX6J"",""run_no"":""RUN-260327-DX6J"",""process_type"":""sterilize"",""unit_size"":500}",
reca9xJ10xK74ysns,Sterilized,2026-03-23T20:45:00.000Z,system,Sterilizer OUT,"{""run_id"":""rec8ZdEg2StmlxanB"",""run_no"":""RUN-260327-xanB"",""process_type"":""sterilize"",""unit_size"":400}",
recaHRxcCf8eKsBf3,FullyColonized,2026-04-17T20:39:36.646Z,,Dark Room,{},
recaTNTaBahyn9xCj,Inoculated,2026-03-30T16:21:06.497Z,,Inoculation,"{""source_lot_id"":""recEX9gLdbq1FDXuq"",""source_category"":""lc_syringe"",""volume_ml"":2.5,""operator"":"""",""target_lot_id"":""LOT-260327-chKh""}",
recbF12QMPhhUORZu,Sterilized,2026-03-24T13:17:23.986Z,system,Sterilizer OUT,"{""run_id"":""recOSF8bNk5Sq0Acf"",""run_no"":""RUN-260324-0Acf"",""process_type"":""sterilize"",""unit_size"":2}",
recbW1Ajkup3uRzM2,Inoculated,2026-03-30T16:19:16.700Z,,Inoculation,"{""source_lot_id"":""recztPd8zoKCy5Uap"",""source_category"":""lc_syringe"",""volume_ml"":2.5,""operator"":"""",""target_lot_id"":""LOT-260324-kNcW""}",
reccNnwpu6k4B60e8,Sterilized,2026-03-30T16:15:34.671Z,system,Sterilizer OUT,"{""run_id"":""recpFcbTcKrw3DX6J"",""run_no"":""RUN-260327-DX6J"",""process_type"":""sterilize"",""unit_size"":500}",
reccywPAaliIxpa1T,Pasteurized,2026-03-10T18:23:50.693Z,Robert,Sterilizer OUT,"{""run_id"":""recBjYHAjvHFNP65d"",""run_no"":""RUN-260310-P65d"",""process_type"":""pasteurize"",""unit_size"":5}",
recdF7BxJXra43fav,Sterilized,2026-04-09T20:38:59.422Z,system,Sterilizer OUT,"{""run_id"":""recppjKznbkp9cKxo"",""run_no"":""RUN-260409-cKxo"",""process_type"":""sterilize"",""unit_size"":3}",
